                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.29599,                0.37829,                0.92285,                0.99415,                      1,                  0.995,                0.99302,                0.16185,                 0.1624,                0.63476,              0.0003763,              0.0003763,              0.0003763
                     65,                0.29673,                0.36071,                0.91171,                0.99586,                      1,                  0.995,                  0.995,                0.13971,                0.16264,                0.62969,              0.0003664,              0.0003664,              0.0003664
                     66,                0.29363,                0.36457,                0.91704,                0.99465,                0.99919,                  0.995,                0.99134,                0.15207,                0.17209,                0.63354,              0.0003565,              0.0003565,              0.0003565
                     67,                0.29666,                0.37068,                0.91805,                0.99649,                      1,                  0.995,                0.99276,                0.14377,                0.16893,                0.63154,              0.0003466,              0.0003466,              0.0003466
                     68,                0.28737,                0.33912,                0.88921,                0.99687,                      1,                  0.995,                0.99287,                0.14719,                0.15922,                0.62882,              0.0003367,              0.0003367,              0.0003367
                     69,                0.29002,                0.36507,                0.90368,                0.99623,                      1,                  0.995,                0.99309,                0.14981,                0.15333,                0.62974,              0.0003268,              0.0003268,              0.0003268
                     70,                0.28554,                0.34904,                0.90546,                0.99652,                      1,                  0.995,                0.99152,                0.15268,                0.16493,                0.62858,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.2962,                0.34694,                 0.9175,                0.99638,                      1,                  0.995,                0.99423,                0.13135,                0.15808,                0.62358,               0.000307,               0.000307,               0.000307
                     72,                0.28857,                0.35041,                0.91238,                 0.9961,                      1,                  0.995,                  0.995,                0.14076,                0.15673,                0.62628,              0.0002971,              0.0002971,              0.0002971
                     73,                0.27714,                0.33227,                0.90546,                0.99587,                      1,                  0.995,                  0.995,                0.13976,                0.14404,                0.62561,              0.0002872,              0.0002872,              0.0002872
                     74,                   0.28,                0.33811,                0.91207,                 0.9961,                      1,                  0.995,                  0.995,                0.14483,                 0.1466,                0.62768,              0.0002773,              0.0002773,              0.0002773
